Market,Month,Year,Maize.price,Beans.price,Latitude,Longitude
Baringo,January,2024,70,195,0.46975,35.97937
Baringo,February,2024,74,193,0.46975,35.97937
Baringo,March,2024,67,198,0.46975,35.97937
Baringo,April,2024,61,178,0.46975,35.97937
Embu,January,2024,67,111,-0.87239,37.23352
Embu,February,2024,38,104,-0.87239,37.23352
Embu,March,2024,36,100,-0.87239,37.23352
Embu,April,2024,37,105,-0.87239,37.23352
Garissa,January,2024,99.2,NA,-0.45671,39.64047
Garissa,February,2024,98,NA,-0.45671,39.64047
Garissa,March,2024,97,NA,-0.45671,39.64047
Garissa,April,2024,100,NA,-0.45671,39.64047
Isiolo,January,2024,86,135,0.35,37.5833
Isiolo,February,2024,68,108,0.35,37.5833
Isiolo,March,2024,60,127,0.35,37.5833
Isiolo,April,2024,64,138,0.35,37.5833
Kajiado,January,2024,91,138,-1.84592,36.78918
Kajiado,February,2024,77,135,-1.84592,36.78918
Kajiado,March,2024,71,133,-1.84592,36.78918
Kajiado,April,2024,65,131,-1.84592,36.78918
Kilifi,January,2024,59.5,154,-3.6333,39.85
Kilifi,February,2024,58.2,147.8,-3.6333,39.85
Kilifi,March,2024,51.5,150.5,-3.6333,39.85
Kilifi,April,2024,56.9,143.5,-3.6333,39.85
Kitui,January,2024,52,138,-1.36648,38.01201
Kitui,February,2024,53,147,-1.36648,38.01201
Kitui,March,2024,37,126,-1.36648,38.01201
Kitui,April,2024,41,127,-1.36648,38.01201
Kwale,January,2024,54,NA,-4.28178,39.56682
Kwale,February,2024,54,NA,-4.28178,39.56682
Kwale,March,2024,50,166,-4.28178,39.56682
Kwale,April,2024,48,169.7,-4.28178,39.56682
Laikipia,January,2024,65.5,NA,-0.7182,36.43624
Laikipia,February,2024,64,NA,-0.7182,36.43624
Laikipia,March,2024,44,NA,-0.7182,36.43624
Laikipia,April,2024,47,NA,-0.7182,36.43624
Lamu,January,2024,56,173,-2.26754,40.90106
Lamu,February,2024,60,176,-2.26754,40.90106
Lamu,March,2024,64,170,-2.26754,40.90106
Lamu,April,2024,66,176,-2.26754,40.90106
Makueni,January,2024,60,167,-1.54214,37.25674
Makueni,February,2024,53,149,-1.54214,37.25674
Makueni,March,2024,48,141,-1.54214,37.25674
Makueni,April,2024,47,129,-1.54214,37.25674
Marsabit,January,2024,83,147,2.33806,37.99164
Marsabit,February,2024,77,144,2.33806,37.99164
Marsabit,March,2024,64,121,2.33806,37.99164
Marsabit,April,2024,63,122,2.33806,37.99164
Meru,January,2024,62,79,0.04998,37.65001
Meru,February,2024,42,79,0.04998,37.65001
Meru,March,2024,31,73,0.04998,37.65001
Meru,April,2024,32,70,0.04998,37.65001
Narok,January,2024,57,157,-1.08869,35.87149
Narok,February,2024,53,144,-1.08869,35.87149
Narok,March,2024,57,161,-1.08869,35.87149
Narok,April,2024,61,160,-1.08869,35.87149
Nyeri,January,2024,68,141,-0.4193,36.9517
Nyeri,February,2024,64,94,-0.4193,36.9517
Nyeri,March,2024,55,112,-0.4193,36.9517
Nyeri,April,2024,52,112,-0.4193,36.9517
Samburu,January,2024,75,NA,1.1,36.7
Samburu,February,2024,73.2,NA,1.1,36.7
Samburu,March,2024,67.5,NA,1.1,36.7
Samburu,April,2024,64,NA,1.1,36.7
Taita Taveta,January,2024,56,174.3,-3.40457,38.36616
Taita Taveta,February,2024,50,136,-3.40457,38.36616
Taita Taveta,March,2024,50,136,-3.40457,38.36616
Taita Taveta,April,2024,50,135,-3.40457,38.36616
Tana River,January,2024,90,NA,-1.18902,39.83223
Tana River,February,2024,85,NA,-1.18902,39.83223
Tana River,March,2024,80,NA,-1.18902,39.83223
Tana River,April,2024,76,NA,-1.18902,39.83223
Tharaka Nithi,January,2024,64,125,-0.15708,37.97344
Tharaka Nithi,February,2024,57,128,-0.15708,37.97344
Tharaka Nithi,March,2024,42,102,-0.15708,37.97344
Tharaka Nithi,April,2024,49,NA,-0.15708,37.97344
Turkana,January,2024,102,180,3.70367,34.87184
Turkana,February,2024,94,186,3.70367,34.87184
Turkana,March,2024,94,160,3.70367,34.87184
Turkana,April,2024,92,186,3.70367,34.87184
Wajir,January,2024,NA,NA,1.75047,40.0595
Wajir,February,2024,92,NA,1.75047,40.0595
Wajir,March,2024,88,NA,1.75047,40.0595
Wajir,April,2024,88,NA,1.75047,40.0595
West Pokot,January,2024,70,172,1.25225,35.09099
West Pokot,February,2024,63.1,150,1.25225,35.09099
West Pokot,March,2024,60.2,165,1.25225,35.09099
West Pokot,April,2024,57,160,1.25225,35.09099
Baringo,January,2023,90,152,0.46975,35.97937
Baringo,February,2023,91,157,0.46975,35.97937
Baringo,March,2023,94,165,0.46975,35.97937
Baringo,April,2023,94.1,169,0.46975,35.97937
Baringo,May,2023,100,202,0.46975,35.97937
Baringo,June,2023,109,224,0.46975,35.97937
Baringo,July,2023,96,200,0.46975,35.97937
Baringo,August,2023,89,194,0.46975,35.97937
Baringo,September,2023,82,190,0.46975,35.97937
Baringo,October,2023,82,182,0.46975,35.97937
Baringo,November,2023,76,182,0.46975,35.97937
Baringo,December,2023,75,179,0.46975,35.97937
Embu,January,2023,91,125,-0.87239,37.23352
Embu,February,2023,79,125,-0.87239,37.23352
Embu,March,2023,79,140,-0.87239,37.23352
Embu,April,2023,77,152,-0.87239,37.23352
Embu,May,2023,84,163,-0.87239,37.23352
Embu,June,2023,80,108,-0.87239,37.23352
Embu,July,2023,80,110,-0.87239,37.23352
Embu,August,2023,67,100,-0.87239,37.23352
Embu,September,2023,66,130,-0.87239,37.23352
Embu,October,2023,75,152,-0.87239,37.23352
Embu,November,2023,65,134,-0.87239,37.23352
Embu,December,2023,66,134,-0.87239,37.23352
Garissa,January,2023,100,NA,-0.45671,39.64047
Garissa,February,2023,105,NA,-0.45671,39.64047
Garissa,March,2023,105,NA,-0.45671,39.64047
Garissa,April,2023,90,NA,-0.45671,39.64047
Garissa,May,2023,90,NA,-0.45671,39.64047
Garissa,June,2023,90,NA,-0.45671,39.64047
Garissa,July,2023,90,NA,-0.45671,39.64047
Garissa,August,2023,85,NA,-0.45671,39.64047
Garissa,September,2023,88,NA,-0.45671,39.64047
Garissa,October,2023,96.8,NA,-0.45671,39.64047
Garissa,November,2023,110,NA,-0.45671,39.64047
Garissa,December,2023,103,NA,-0.45671,39.64047
Isiolo,January,2023,102.4,192,0.35,37.5833
Isiolo,February,2023,103,200,0.35,37.5833
Isiolo,March,2023,103,202,0.35,37.5833
Isiolo,April,2023,103,204,0.35,37.5833
Isiolo,May,2023,103,203,0.35,37.5833
Isiolo,June,2023,102,183,0.35,37.5833
Isiolo,July,2023,93,178,0.35,37.5833
Isiolo,August,2023,87,178,0.35,37.5833
Isiolo,September,2023,88,181,0.35,37.5833
Isiolo,October,2023,88,181,0.35,37.5833
Isiolo,November,2023,88,177,0.35,37.5833
Isiolo,December,2023,90,180,0.35,37.5833
Kajiado,January,2023,100,140,-1.84592,36.78918
Kajiado,February,2023,100,148,-1.84592,36.78918
Kajiado,March,2023,100,140,-1.84592,36.78918
Kajiado,April,2023,100,145,-1.84592,36.78918
Kajiado,May,2023,105,151,-1.84592,36.78918
Kajiado,June,2023,106,154,-1.84592,36.78918
Kajiado,July,2023,108,164,-1.84592,36.78918
Kajiado,August,2023,110,171,-1.84592,36.78918
Kajiado,September,2023,106,163,-1.84592,36.78918
Kajiado,October,2023,102,162,-1.84592,36.78918
Kajiado,November,2023,93,154,-1.84592,36.78918
Kajiado,December,2023,91,146,-1.84592,36.78918
Kilifi,January,2023,67.7,186.5,-3.6333,39.85
Kilifi,February,2023,71.3,184.8,-3.6333,39.85
Kilifi,March,2023,71.2,180.7,-3.6333,39.85
Kilifi,April,2023,69.7,182.6,-3.6333,39.85
Kilifi,May,2023,76.1,184.6,-3.6333,39.85
Kilifi,June,2023,76.4,197.1,-3.6333,39.85
Kilifi,July,2023,72.9,189.5,-3.6333,39.85
Kilifi,August,2023,67.1,178.3,-3.6333,39.85
Kilifi,September,2023,63.9,170.5,-3.6333,39.85
Kilifi,October,2023,64.7,171.1,-3.6333,39.85
Kilifi,November,2023,61.4,159.5,-3.6333,39.85
Kilifi,December,2023,59.8,149,-3.6333,39.85
Kitui,January,2023,67,132,-1.36648,38.01201
Kitui,February,2023,62,135,-1.36648,38.01201
Kitui,March,2023,71,148,-1.36648,38.01201
Kitui,April,2023,71,160,-1.36648,38.01201
Kitui,May,2023,72,168,-1.36648,38.01201
Kitui,June,2023,77,161,-1.36648,38.01201
Kitui,July,2023,78,175,-1.36648,38.01201
Kitui,August,2023,75,165,-1.36648,38.01201
Kitui,September,2023,75,173,-1.36648,38.01201
Kitui,October,2023,62,170,-1.36648,38.01201
Kitui,November,2023,63,174,-1.36648,38.01201
Kitui,December,2023,62,165,-1.36648,38.01201
Kwale,January,2023,79.1,NA,-4.28178,39.56682
Kwale,February,2023,75.6,NA,-4.28178,39.56682
Kwale,March,2023,87.4,NA,-4.28178,39.56682
Kwale,April,2023,87.4,NA,-4.28178,39.56682
Kwale,May,2023,110.3,NA,-4.28178,39.56682
Kwale,June,2023,105.3,NA,-4.28178,39.56682
Kwale,July,2023,103.1,NA,-4.28178,39.56682
Kwale,August,2023,81.3,NA,-4.28178,39.56682
Kwale,September,2023,66.3,NA,-4.28178,39.56682
Kwale,October,2023,61.8,NA,-4.28178,39.56682
Kwale,November,2023,61.8,NA,-4.28178,39.56682
Kwale,December,2023,61.8,NA,-4.28178,39.56682
Laikipia,January,2023,73.7,NA,-0.7182,36.43624
